id,context,question,ground_truth
1,"Nitrogen application for wheat should be split into two doses: 50% at sowing and 50% during the first irrigation cycle. Excess nitrogen leads to lodging.","When should nitrogen be applied to wheat and what is the risk of over-application?","Apply 50% at sowing and 50% during first irrigation; over-application causes lodging."
2,"Late blight in potatoes is caused by the oomycete Phytophthora infestans. It thrives in cool, humid conditions and is managed using copper-based fungicides.","What organism causes late blight in potatoes and how is it managed?","It is caused by Phytophthora infestans and managed with copper-based fungicides."
3,"Drip irrigation systems reduce water consumption by up to 60% compared to surface flooding. They maintain optimal soil moisture profiles directly at the root zone.","How much water can drip irrigation save over surface flooding?","Drip irrigation can save up to 60% of water usage."
4,"Rice seedlings are typically transplanted 20 to 30 days after sowing. Proper spacing between seedlings improves aeration and reduces disease incidence.","When should rice seedlings be transplanted and why is proper spacing important?","Rice seedlings are transplanted after 20 to 30 days; proper spacing improves aeration and reduces diseases."
5,"Maize requires well-drained loamy soil with a pH range of 5.8 to 7.0 for optimal growth. Waterlogging severely reduces root development.","What soil conditions are ideal for maize cultivation?","Maize grows best in well-drained loamy soil with pH 5.8 to 7.0."
6,"Crop rotation with legumes improves soil fertility because legumes fix atmospheric nitrogen through symbiotic bacteria in their root nodules.","How do legumes improve soil fertility in crop rotation?","Legumes fix atmospheric nitrogen through bacteria in root nodules."
7,"Powdery mildew in cucurbits appears as white powdery spots on leaves and stems. Sulfur-based fungicides are commonly used for management.","What are the symptoms of powdery mildew and how is it controlled?","It causes white powdery spots on leaves and stems and is controlled using sulfur-based fungicides."
8,"Organic farming avoids synthetic fertilizers and pesticides. Instead, it relies on compost, crop rotation, and biological pest control.","What practices are commonly used in organic farming?","Organic farming uses compost, crop rotation, and biological pest control."
9,"Soil testing should be conducted every two to three years to determine nutrient deficiencies and optimize fertilizer recommendations.","Why is soil testing important in agriculture?","Soil testing identifies nutrient deficiencies and helps optimize fertilizer use."
10,"Bee pollination significantly increases the yield of sunflower crops. Pollinator activity is highest during warm and sunny weather.","How do bees help sunflower production?","Bees improve pollination and increase sunflower yield."
11,"Mulching helps conserve soil moisture, suppress weeds, and regulate soil temperature. Organic mulches also improve soil structure over time.","What are the benefits of mulching?","Mulching conserves moisture, suppresses weeds, and regulates soil temperature."
12,"Tomato plants require staking or trellising to improve air circulation and reduce fruit rot caused by soil contact.","Why should tomato plants be staked?","Staking improves air circulation and reduces fruit rot."
13,"Excessive irrigation in paddy fields can lead to nutrient leaching and methane emissions. Controlled irrigation improves water efficiency.","What problems can excessive irrigation cause in paddy farming?","It can cause nutrient leaching and methane emissions."
14,"The fall armyworm is a major pest of maize crops. Early signs include leaf holes and damaged whorls. Integrated pest management is recommended.","What are signs of fall armyworm infestation in maize?","Leaf holes and damaged whorls are common signs."
15,"Vermicompost is produced using earthworms to decompose organic waste into nutrient-rich compost suitable for crop production.","How is vermicompost produced?","It is produced by earthworms decomposing organic waste."
16,"Greenhouse farming allows crops to be grown in controlled environmental conditions, improving yield and reducing pest pressure.","What are the advantages of greenhouse farming?","It improves yield and reduces pest pressure through controlled conditions."
17,"Seed treatment with fungicides protects seedlings from seed-borne and soil-borne diseases during germination.","Why is seed treatment important before planting?","It protects seedlings from seed-borne and soil-borne diseases."
18,"Soybean crops require adequate phosphorus during early growth stages for strong root development and nodulation.","Why is phosphorus important for soybean crops?","Phosphorus supports root development and nodulation."
19,"Intercropping maize with beans helps maximize land use efficiency and reduces the spread of certain pests.","What are the benefits of intercropping maize with beans?","It improves land use efficiency and reduces pest spread."
20,"Harvesting wheat at the correct maturity stage prevents grain shattering and maintains grain quality during storage.","Why is timely wheat harvesting important?","It prevents grain shattering and preserves grain quality."
